subject,description
US VPN,"I am your paid customer and want virtual machine in US right now your virtual machine showing in **czech republic.**

**Please let me know if you have.**"
80% quota threshold exceeded for the folder C:\Users\renata.hervertova\ on server AOF0312!,"Quota threshold 80% exceeded for folder C:\Users\renata.hervertova\ on server AOF0312. The quota limit is 2048,00 MB, and 1638,45 MB currently is in use (80% of limit).
Source of notification: C:\Users\renata.hervertova\Desktop\exprt.xml.
Owner of the source of the notification AOF\renata.hervertova."
Remote Desktop Disabled by Mistake – Assistance Needed,"Hello AppOnFly Support,

I mistakenly disabled Remote Desktop in the inbound settings instead of enabling it, which is why I’m no longer able to connect via RDP. Kindly help me resolve this issue. Thank you!"
80% quota threshold exceeded for the folder C:\Users\renata.hervertova\ on server AOF0312!,"Quota threshold 80% exceeded for folder C:\Users\renata.hervertova\ on server AOF0312. The quota limit is 2048,00 MB, and 1647,17 MB currently is in use (80% of limit).
Source of notification: C:\Users\renata.hervertova\AppData\Local\Temp\24\JETE486.tmp.
Owner of the source of the notification AOF\renata.hervertova."
Affiliate withdrawal ,How can i withdrawal my affiliate commission
 my rdp no connected?,    ???
Re: [AppOnFly] Re: time,"This is a follow-up to your previous request #2349 ""time""

why it's now free so fucking kick rocks"
Windows VPS recovery,"HI,

I have a Windows VPS with Remote Desktop that I can't connect to it shows this message “The remote desktop server is currently unreachable. If the problem persists, please notify your system administrator, or check your system logs.”. I don't want to reset it as I want to retain the data on it. Can you help with this?"
Re: [AppOnFly] Re: time,"This is a follow-up to your previous request #2349 ""time""

your service is fucking garbage"
IPs Related,"I want to know if, when I purchase the 100 hours per year $12 plan and connect via RDP, will I get a different IP or a different PC every time, or will it be the same PC each time?"
Vps Auto-hours Consumption in just 1 day,"Hello ,
I have written multiple mails now , the thing is that i got to know about the monthly hours commitment but the thing is that i lost 250hours in just 1 day in all my 3 vps of 100hours each , it was not like it got detected on monthly basis just in 1 day.

I am now in a huge loss so please help me atleast give some hours back the monthly commitment says that it should be consumed on monthly basis but it consumed retroactively my 250+ hours in one day.

So please help me i purchased 3 vps of worth 6$ each and didnt even used much and in just 1 day 90+hours got consumed.
Thankyou"
The file transfer is not active or supported by the administrator contactor or to monitor the journeau system.,??? The file transfer is not active or supported by the administrator contactor or to monitor the journeau system.
Request User to create Renzullo Francesco Pio,"Good afternoon,

 

I updated the spreadsheets here below with the new user Renzullo Francesco Pio.

 

https://docs.google.com/spreadsheets/d/1BJm4h6xE06VoVrANFNKtxECi3UZEH8AT/edit?usp=sharing&ouid=110689465171245419527&rtpof=true&sd=true

 

 

Cordiali saluti,

Matilde Gorgone

 

OVB Consulenza Patrimoniale srl

Stradone San Fermo, 19 - 37121 Verona


Tel: +39 045 8037070  

Mobil: +39 351 459 8368

 

Email:matilde.gorgone@ovb.it  | Web: www.ovb.it (http://www.ovb.it/)


            

 

Le informazioni contenute nella presente e-mail e i relativi allegati sono riservati esclusivamente alle persone o alla Società sopraindicati.

La diffusione, comunicazione e/o copia del contenuto della e-mail e dei documenti trasmessi da parte di qualsiasi soggetto diverso dal destinatario è vietata ai sensi dell'art. 616 c.p. e del Regolamento UE 2016/679.

Se avete ricevuto questo messaggio per errore, vi preghiamo di distruggerlo e di informarci immediatamente per telefono ai numeri sopra indicati o inviando un messaggio al presente indirizzo e-mail."
android emulator,hello i want to install android emulator but hard to install can help me please
New Subscription User Marzaro Sabrina,"Good morning,

 

can you please create a new subscription for the user Marzaro Sabrina?

 

Cordiali saluti,

Matilde Gorgone

 

OVB Consulenza Patrimoniale srl

Stradone San Fermo, 19 - 37121 Verona


Tel: +39 045 8037070  

Mobil: +39 351 459 8368

 

Email:matilde.gorgone@ovb.it  | Web: www.ovb.it (http://www.ovb.it/)


            

 

Le informazioni contenute nella presente e-mail e i relativi allegati sono riservati esclusivamente alle persone o alla Società sopraindicati.

La diffusione, comunicazione e/o copia del contenuto della e-mail e dei documenti trasmessi da parte di qualsiasi soggetto diverso dal destinatario è vietata ai sensi dell'art. 616 c.p. e del Regolamento UE 2016/679.

Se avete ricevuto questo messaggio per errore, vi preghiamo di distruggerlo e di informarci immediatamente per telefono ai numeri sopra indicati o inviando un messaggio al presente indirizzo e-mail."
New Subscription Commone Giorgia,"Good morning,

can you please create a new subscription for the user Commone Giorgia?

 

Cordiali saluti,

Matilde Gorgone

 

OVB Consulenza Patrimoniale srl

Stradone San Fermo, 19 - 37121 Verona


Tel: +39 045 8037070  

Mobil: +39 351 459 8368

 

Email:matilde.gorgone@ovb.it  | Web: www.ovb.it (http://www.ovb.it/)


            

 

Le informazioni contenute nella presente e-mail e i relativi allegati sono riservati esclusivamente alle persone o alla Società sopraindicati.

La diffusione, comunicazione e/o copia del contenuto della e-mail e dei documenti trasmessi da parte di qualsiasi soggetto diverso dal destinatario è vietata ai sensi dell'art. 616 c.p. e del Regolamento UE 2016/679.

Se avete ricevuto questo messaggio per errore, vi preghiamo di distruggerlo e di informarci immediatamente per telefono ai numeri sopra indicati o inviando un messaggio al presente indirizzo e-mail."
OVB agents account expired.,"This is a follow-up to your previous request #1835 ""OVB agents account expired.""

Goog morning,

please resume Apponfly account for

silvia.fasolato@ovbsales.it<mailto:davide.calla@ovbsales.it>

Thank you very much

Best regards


Katia Iezzi

Responsabile funzione antiriciclaggio

OVB Consulenza Patrimoniale srl

Stradone San Fermo 19

I-37121 Verona

Telefono: +39 045 8037070

Web: www.ovb.it<http://www.ovb.it/>
Mail: katia.iezzi@ovb.it<mailto:katia.iezzi@ovb.it>

[X]<https://www.facebook.com/ovbitalia>    [X] <https://www.instagram.com/ovb_italia/>     [X] <https://www.linkedin.com/company/ovb-consulenza-patrimoniale-italia/>      [X] <https://www.youtube.com/channel/UCEohf4OxS25dJ4bEG-A5FTQ>

Le informazioni contenute nella presente e-mail e i relativi allegati sono riservati esclusivamente alle persone o alla Società sopraindicati.

La diffusione, comunicazione e/o copia del contenuto della e-mail e dei documenti trasmessi da parte di qualsiasi soggetto diverso dal destinatario è vietata ai sensi dell'art. 616 c.p. e del Regolamento UE 2016/679.

Se avete ricevuto questo messaggio per errore, vi preghiamo di distruggerlo e di informarci immediatamente per telefono ai numeri sopra indicati o inviando un messaggio al presente indirizzo e-mail."
New Subscription Zuccarello,"Hello,

 

can you please create a new subscription for the user Zuccarello Anna?

 

Cordiali saluti,

Matilde Gorgone

 

OVB Consulenza Patrimoniale srl

Stradone San Fermo, 19 - 37121 Verona


Tel: +39 045 8037070  

Mobil: +39 351 459 8368

 

Email:matilde.gorgone@ovb.it  | Web: www.ovb.it (http://www.ovb.it/)


            

 

Le informazioni contenute nella presente e-mail e i relativi allegati sono riservati esclusivamente alle persone o alla Società sopraindicati.

La diffusione, comunicazione e/o copia del contenuto della e-mail e dei documenti trasmessi da parte di qualsiasi soggetto diverso dal destinatario è vietata ai sensi dell'art. 616 c.p. e del Regolamento UE 2016/679.

Se avete ricevuto questo messaggio per errore, vi preghiamo di distruggerlo e di informarci immediatamente per telefono ai numeri sopra indicati o inviando un messaggio al presente indirizzo e-mail."
80% quota threshold exceeded for the folder C:\Users\renata.hervertova\ on server AOF0312!,"Quota threshold 80% exceeded for folder C:\Users\renata.hervertova\ on server AOF0312. The quota limit is 2048,00 MB, and 1648,47 MB currently is in use (80% of limit).
Source of notification: C:\Users\renata.hervertova\AppData\Local\Temp\28\JET88F0.tmp.
Owner of the source of the notification AOF\renata.hervertova."
80% quota threshold exceeded for the folder C:\Users\renata.hervertova\ on server AOF0312!,"Quota threshold 80% exceeded for folder C:\Users\renata.hervertova\ on server AOF0312. The quota limit is 2048,00 MB, and 1644,13 MB currently is in use (80% of limit).
Source of notification: C:\Users\renata.hervertova\AppData\Local\Microsoft\Windows\INetCache\IE\W7P3VBWH\Update13908[1].upd.
Owner of the source of the notification AOF\renata.hervertova."
90% quota threshold exceeded for the folder C:\Users\renata.hervertova\ on server AOF0312!,"Quota threshold 90% exceeded for folder C:\Users\renata.hervertova\ on server AOF0312. The quota limit is 2048,00 MB, and 2033,31 MB currently is in use (99% of limit).
Source of notification: C:\Users\renata.hervertova\AppData\Local\Microsoft\Windows\INetCache\IE\JDBLDLPX\Pohoda_13900[1].exe.
Owner of the source of the notification AOF\renata.hervertova."
.net 3.5,"//Microsoft .NET Framework 3.5

How do I access the roles and features to enabled this? I can not open apps that require this feature and is annoying that every time I try to enabled via server manager it shows and error. CAN SOMEONE FIX THIS PLEASE!!!"
WTF, ![](https://apponfly6713.zendesk.com/attachments/token/Q0CfZiLfP6PEs5uftmKGn6EJD/?name=image.png)
WTF,WHAT THE FUCK IS GOING ON WITH THIS GARBAGE ASS SITE? I CAN NOT OPEN ANY APPS AND I CAN NOT ENABLE THE NEW FEATURES AND ROLES OPTION TO ALLOW .NET FRAME WORK 3.5 TO BE USED SO APPS CAN OPEN. ONLY FUCKING REASON I USE THIS TRASHY SERVICE IS TO OPEN .EXE FILES AND I CAN'T BECAUSE SOMEONE HAS TOUCHED ADMIN FEATURES THAT HAVE CHANGED SINCE THE LAST SUBSCRIPTION…………………FIX THIS FUCKING SITE!!!!!
Inquiry Regarding Model Driver Differences,"My VPS is the one with 2CPU and it lacks the OPENGL drivers I need to run my program, does the one with 4CPU have more up to date drivers?"
Windows 10, ![](https://apponfly6713.zendesk.com/attachments/token/JPlDFEAy9SwUI7ZrTfhAE2550/?name=file_0000000029d061f6ad5c9b59d2ae255d.png)
Refund,Hi can I ask for a refund? When I tried free-trial I wasn't able to fully test it because of lack of time duration so I purchased it right away. Upon checking I don't think it meet my requirements.
100% quota threshold exceeded for the folder C:\Users\renata.hervertova\ on server AOF0312!,"Quota threshold 100% exceeded for folder C:\Users\renata.hervertova\ on server AOF0312. The quota limit is 2048,00 MB, and 2048,00 MB currently is in use (100% of limit).
Source of notification: C:\Users\renata.hervertova\AppData\Local\Temp\30\Stormware\Pohoda\{9949AE87-E35B-4561-A266-15DE3A03A7A2}\Pohoda_13900.exe.tmp.
Owner of the source of the notification AOF\renata.hervertova."
Network low,It is 2 days that the speed is very slow. I chack my connection but it is at full speed. Do you have some network issue?
subscription,i bought a fixed subscription and y'all charged me and I dont see the option to use the vps
your service is garbage,"does your service have to be complete garbage? WTF with not being able to open apps that require a new feature or role to allow them to open? This service is AIDS. Whoever gets my payment enjoy it while it last, MAKE sure you get yourself something to eat on me. FUYCKING SCAM is why I hack this site daily for free time, YOUR not the only one scumbag that can fuck around, AND plzzzz temp me to do some damage to this site, I'LL wait!!!"
.net 3.5,"//Microsoft .NET Framework 3.5

How do you enabled this feature???

I can not access this in roles and new features and I can't open A LOT of apps that require this VERY ANNOYING! PLEASE FIX THIS…"
inquiry,"When subscribing to the 100-hour package, will I get 1 RDP or an unlimited number with different IP addresses?"
Can´t connect to my server,"Hello, I can't connect to my server, the button “Connect” is disabled, and the server show the message “stopping”

Please help me"
Can't log in to Windows,"Greetings,

Can't access Windows, the following message is shown: The referenced account is currently locked out and may not be logged on to.

Username: Administrator

Best Regards,"
My account is deleted,Hello AppOnFly I buy your subscription for one year it delete my account this is not form your side
i get an error when i open my rdp,i get this error
Reduce Payment Fees and Boost Client Privacy with Cryptomus,"Dear Team AppOnFly,

I hope this message finds you well.

I’m reaching out to introduce Cryptomus, a secure and modern cryptocurrency payment gateway that could significantly enhance AppOnFly’s existing payment infrastructure. Currently, I understand that you’re using Stripe with a standard commission of 3%. With Cryptomus, we can offer a competitive 2.0% fee, which is also negotiable based on volume and long-term potential.

As a reputable cloud-based platform providing Windows VPS and cloud gaming services, many of your global clients may prefer crypto payments due to privacy concerns, and Cryptomus is perfectly positioned to help you meet that demand, while improving margins.

Key Benefits of Using Cryptomus:

*

Affordable and customizable commissions starting from 2% per transaction

*

0% withdrawal fees (network fees only)

*

No geographical limits – Accept payments from anywhere in the world

*

Free automatic conversion to USDT to minimize volatility risks

*

Support for over 35 cryptocurrencies, with no geographic restrictions and flexibility to add more coins on request

*

Advanced security infrastructure ensuring data privacy and multi-layered protection

If you're looking to reduce costs, expand payment flexibility, and address user privacy concerns, Cryptomus is the ideal payment partner. Feel free to reply to this email or reach out to me on WhatsApp for more information.

Looking forward to hearing from you.

Best wishes,
Amarendra Patil
Business Development Manager | Cryptomus
Telegram: @Amarendra_Cryptomus
WhatsApp: +372 5920 8034"
Connection to APPONFLY users Matteo Barin and Anna Zuccarello,"Good morning,

 

we are writing to you about the impossibility for the two following users to connect to APPONFLY server as the screen here below:

* Matteo Barin;
* Anna Zuccarello

Can you please check it?

 

 

Cordiali saluti,

Matilde Gorgone

 

OVB Consulenza Patrimoniale srl

Stradone San Fermo, 19 - 37121 Verona


Tel: +39 045 8037070  

Mobil: +39 351 459 8368

 

Email:matilde.gorgone@ovb.it  | Web: www.ovb.it (http://www.ovb.it/)


            

 

Le informazioni contenute nella presente e-mail e i relativi allegati sono riservati esclusivamente alle persone o alla Società sopraindicati.

La diffusione, comunicazione e/o copia del contenuto della e-mail e dei documenti trasmessi da parte di qualsiasi soggetto diverso dal destinatario è vietata ai sensi dell'art. 616 c.p. e del Regolamento UE 2016/679.

Se avete ricevuto questo messaggio per errore, vi preghiamo di distruggerlo e di informarci immediatamente per telefono ai numeri sopra indicati o inviando un messaggio al presente indirizzo e-mail."
New Subscription Apponfly Esposito Lara,"Good morning,

 

we kindly ask you to recreate a new subscription for the user Lara Esposito.

 

Thank you,

 

Cordiali saluti,

Matilde Gorgone

 

OVB Consulenza Patrimoniale srl

Stradone San Fermo, 19 - 37121 Verona


Tel: +39 045 8037070  

Mobil: +39 351 459 8368

 

Email:matilde.gorgone@ovb.it  | Web: www.ovb.it (http://www.ovb.it/)


            

 

Le informazioni contenute nella presente e-mail e i relativi allegati sono riservati esclusivamente alle persone o alla Società sopraindicati.

La diffusione, comunicazione e/o copia del contenuto della e-mail e dei documenti trasmessi da parte di qualsiasi soggetto diverso dal destinatario è vietata ai sensi dell'art. 616 c.p. e del Regolamento UE 2016/679.

Se avete ricevuto questo messaggio per errore, vi preghiamo di distruggerlo e di informarci immediatamente per telefono ai numeri sopra indicati o inviando un messaggio al presente indirizzo e-mail."
WTF,WHAT THE FUCK IS GOING ON WITH THIS GARBAGE ASS SITE? I CAN NOT OPEN ANY APPS AND I CAN NOT ENABLE THE NEW FEATURES AND ROLES OPTION TO ALLOW .NET FRAME WORK 3.5 TO BE USED SO APPS CAN OPEN. ONLY FUCKING REASON I USE THIS TRASHY SERVICE IS TO OPEN .EXE FILES AND I CAN'T BECAUSE SOMEONE HAS TOUCHED ADMIN FEATURES THAT HAVE CHANGED SINCE THE LAST SUBSCRIPTION…………………FIX THIS FUCKING SITE!!!!!
Billing,"can you please provide me a receipt for this invoice. The only invoice online is $0. Thank you.


Settlement Method

Commercial Card

Transaction Type

Purchase

Cardholder Name

TRAVIS JANTZ

Account Number

************5769

Transaction Date

05/01/25

Post Date

05/02/25

MCC

5734Merchant Category Code Details

Merchant

WWW.APPONFLY.COMMerchant Details

Merchant Location

PRAGUE 7, PRA, CZ

Original Merchant

WWW.APPONFLY.COM

Parent Merchant

WWW.APPONFLY.COM

Customer Code



Micro Reference

88971455121500013472039

Authorization Number

008927

Transaction ID

4942745922001

Original Currency

USD

Original Amount

$24.00"
Re: [AppOnFly] Re: Security,"This is a follow-up to your previous request #2355 ""Security""

Can you please send me the receipt for this transaction. I attempted to download off the apponfly website though the total online says 0.00??? Thank you!

[cid:18707612-1acf-4721-955c-78e701d6eef6][cid:359247b9-94fe-475b-9b5e-7ee00ca1a5a5]

Best Regards,

Travis Jantz
Desktop Support Manager
TJantz@Neubus.com
C: 512-680-8709
www.Neubus.com<http://www.Neubus.com>

""NOTICE OF CONFIDENTIALITY: This message (including any attachments) contains confidential information intended for a specific individual and purpose, and is protected by law. If you are not the intended recipient, you should delete this message. Any disclosure, copying, or distribution of this message, or the taking of any action based on it, is strictly prohibited.""

[cid:d053198f-7d5b-431e-b4aa-950350d7e18e]"
Access questions consultation,我想知道我通过远程控制或者浏览器控制会不会卡段， 我的地区在中国香港，或者中国大陆，我刚试用的时候发现你们服务器地址在菲律宾，我控制起来有点儿延迟，有没有办法可以更改服务器地区或者怎么让我购买之后，控制起来没有那么延迟，可以正常使用， 我在上面进行软件测等能衔接。
Connect,I stuck here
it will not connect to my vm,it will not connect to my VM . it  keep saying  connecting  wait.  but nothing… I still waiting so it can connect.
Delete my Account Now,Request for Delete my Account For pham2join@yahoo.com For Now
Max trial limit reached but never refreshes...,ive already gone through the guides and all. i had done everything. but it never refreshes the trial limit. i havent been on this at all in the past week. it hasnt refreshed at all. what do i do?
THERE IS AN AMOUNT WAS PAID WITH OUT MY PERMMISION,"THERE IS AN AMOUNT WAS PAID WITH OUT MY PERMMISION AND I DIDNT RENEWD THE SERVICE  YET
SO FIRT I WANT TO DELET PAY METHODE AND REFUND THE MONEY AMOUTNT IN THE ATTACED RECIITE"
free trial,it keeps saying that my internet connection is unable to access it and isnt allowing me to use it
"""Trial limit for your IP address has been reached. Please subscribe or wait for the next free slot.""","i have been locked out of this for three days and every time i try to do it, over two hours later it never gives me another free slot. it used to before but not anymore. i would like to keep using it as long as i can."
Access questions consultation,我想知道我的win系统上面，然后服务器地址在哪儿， 我访问的时候通过浏览器访问或者通过远程桌面访问，怎么才能让控制电脑丝滑，不会卡顿，因为远程控制我很担心操作控制延迟和卡顿。 另外这儿为什么没有客服人员与我沟通。
New Subscription  user Marsetti Andrea,"Good morning,

we kindly ask you to have a new subscription for the user Andrea Marsetti.

 

Cordiali saluti,

Matilde Gorgone

 

OVB Consulenza Patrimoniale srl

Stradone San Fermo, 19 - 37121 Verona


Tel: +39 045 8037070  

Mobil: +39 351 459 8368

 

Email:matilde.gorgone@ovb.it  | Web: www.ovb.it (http://www.ovb.it/)


            

 

Le informazioni contenute nella presente e-mail e i relativi allegati sono riservati esclusivamente alle persone o alla Società sopraindicati.

La diffusione, comunicazione e/o copia del contenuto della e-mail e dei documenti trasmessi da parte di qualsiasi soggetto diverso dal destinatario è vietata ai sensi dell'art. 616 c.p. e del Regolamento UE 2016/679.

Se avete ricevuto questo messaggio per errore, vi preghiamo di distruggerlo e di informarci immediatamente per telefono ai numeri sopra indicati o inviando un messaggio al presente indirizzo e-mail."
Papai,Deixe sua descrição
info request about vps minutes,"hi,

I would like to subscribe a flexible vps plan.

I need to understand how vps usage minutes are calculated.

If I install a software for my needs on the vps and get connected for 4-5 hours a day,

is my daily usage will be counted 4-5 hours or since I need to keep files on vps and because of that my usage will be counted as 24 hours for each day even there will be days I will not use vps.

lastly, I do not mean a software will serve through web which will keep vps up and running.

thanks."
New Subscription user Gabriele Tedesco,"Good morning,

can you please create a new subscription for the user Gabriele Tedesco, email address gabriele.tedesco@ovbsales.it ?

 

Cordiali saluti,

Matilde Gorgone

 

OVB Consulenza Patrimoniale srl

Stradone San Fermo, 19 - 37121 Verona


Tel: +39 045 8037070  

Mobil: +39 351 459 8368

 

Email:matilde.gorgone@ovb.it  | Web: www.ovb.it (http://www.ovb.it/)


            

 

Le informazioni contenute nella presente e-mail e i relativi allegati sono riservati esclusivamente alle persone o alla Società sopraindicati.

La diffusione, comunicazione e/o copia del contenuto della e-mail e dei documenti trasmessi da parte di qualsiasi soggetto diverso dal destinatario è vietata ai sensi dell'art. 616 c.p. e del Regolamento UE 2016/679.

Se avete ricevuto questo messaggio per errore, vi preghiamo di distruggerlo e di informarci immediatamente per telefono ai numeri sopra indicati o inviando un messaggio al presente indirizzo e-mail."
Innovate Your Payment Workflow with Cryptomus,"Greetings! I hope this message finds you well.

I wanted to follow up as I didn’t hear back from you earlier. I believe our solution can significantly enhance your sales conversion and streamline your processes.

We are pleased to offer over 124 coins with auto-conversion into USDT at no additional fees.

Our services have already helped more than 300 businesses in your category achieve measurable results, and I’d be happy to share how we can do the same for you.

If you’re interested in exploring this opportunity, please feel free to reach out to me directly on WhatsApp or reply to this email. I’d be delighted to provide more information and answer any questions you may have.

Looking forward to hearing from you.

Best wishes,
Amarendra Patil
Business Development Manager | Cryptomus

Telegram: @Amarendra_Cryptomus
Whatsapp: +372 5920 8034"
Google ,Google
"The app on fly portal is completely down,    When will it be backup ??","Hi support

The app on fly portal is completely down,    When will it be backup ??

I am teaching class can't get to my apps

Please help

When i click this link  https://app.apponfly.com/

I receive a message ""We'll be back. We are busy updating AppOnFly for you.
Please check back soon.""

Thanks

Mary"
RDP login details not visible in the dashboard ,"Hi, perhaps you could help me -

1. I want to connect to this VPS via any other remote access app. However, in your dashboard I see no information about ip, login, password. Are you maybe able to resolve this or tell me why this issue occured? Because I am not sure if I done something wrong or if you should just fix that. Thanks in advance! :)

2. Your VPS server turns off after I disconnect from it. Is there maybe an option to actually keep ti running 24/7 even if noone actively uses it? I consider running some python test scripts there overnight etc - I wonder if that's okay with your ToS i.e. running VPS 24/7

![](https://apponfly6713.zendesk.com/attachments/token/vlCdjEf07MYE4duMIkdTW3llO/?name=obraz.png)"
google,hi
No enciende mi máquina,Tengo dos subscripciones y mi máquina no enciende me pueden ayudar
New Subscription user Beltrame Ketty,"Good afternoon,

can you please create a new subscription for the user Ketty Beltrame, email address ketty.beltrame@ovbsales.it ?

 

Cordiali saluti,

Matilde Gorgone

 

OVB Consulenza Patrimoniale srl

Stradone San Fermo, 19 - 37121 Verona


Tel: +39 045 8037070  

Mobil: +39 351 459 8368

 

Email:matilde.gorgone@ovb.it  | Web: www.ovb.it (http://www.ovb.it/)


            

 

Le informazioni contenute nella presente e-mail e i relativi allegati sono riservati esclusivamente alle persone o alla Società sopraindicati.

La diffusione, comunicazione e/o copia del contenuto della e-mail e dei documenti trasmessi da parte di qualsiasi soggetto diverso dal destinatario è vietata ai sensi dell'art. 616 c.p. e del Regolamento UE 2016/679.

Se avete ricevuto questo messaggio per errore, vi preghiamo di distruggerlo e di informarci immediatamente per telefono ai numeri sopra indicati o inviando un messaggio al presente indirizzo e-mail."
Can't connect to my vps,I did the steps you told me but it isn't working If I factory reset my vps will I get my subscription back
VPS,"Hey Team,

I just came to know about your service. I am currently using Contabo and Host Hatch but not satisfied. I am looking for a VPS that is stable, fast and with clean proxy quality.

Proxy quality is my main concern.

Can you tell me what the average quality score of your IPs for a VPS are at ipqualityscore.com?

I am ready to buy monthly services (fixed one) right away.

Manidip"
VPS,Hey my vps working very slow from today. whats the reason
New Subscription user Vincenzo Legato,"Good afternoon,

can you please create a new subscription for the user Vincenzo Legato, email address Vincenzo.legato@ovbsales.it ?

 

Cordiali saluti,

Matilde Gorgone

 

OVB Consulenza Patrimoniale srl

Stradone San Fermo, 19 - 37121 Verona


Tel: +39 045 8037070  

Mobil: +39 351 459 8368

 

Email:matilde.gorgone@ovb.it  | Web: www.ovb.it (http://www.ovb.it/)


            

 

Le informazioni contenute nella presente e-mail e i relativi allegati sono riservati esclusivamente alle persone o alla Società sopraindicati.

La diffusione, comunicazione e/o copia del contenuto della e-mail e dei documenti trasmessi da parte di qualsiasi soggetto diverso dal destinatario è vietata ai sensi dell'art. 616 c.p. e del Regolamento UE 2016/679.

Se avete ricevuto questo messaggio per errore, vi preghiamo di distruggerlo e di informarci immediatamente per telefono ai numeri sopra indicati o inviando un messaggio al presente indirizzo e-mail."
New Subscription User GIancotti Luciano,"Good afternoon,

can you please give us a new subscription for the user Luciano Giancotti, email address: Luciano.giancotti@ovbsales.it ?

 

Cordiali saluti,

Matilde Gorgone

 

OVB Consulenza Patrimoniale srl

Stradone San Fermo, 19 - 37121 Verona


Tel: +39 045 8037070  

Mobil: +39 351 459 8368

 

Email:matilde.gorgone@ovb.it  | Web: www.ovb.it (http://www.ovb.it/)


            

 

Le informazioni contenute nella presente e-mail e i relativi allegati sono riservati esclusivamente alle persone o alla Società sopraindicati.

La diffusione, comunicazione e/o copia del contenuto della e-mail e dei documenti trasmessi da parte di qualsiasi soggetto diverso dal destinatario è vietata ai sensi dell'art. 616 c.p. e del Regolamento UE 2016/679.

Se avete ricevuto questo messaggio per errore, vi preghiamo di distruggerlo e di informarci immediatamente per telefono ai numeri sopra indicati o inviando un messaggio al presente indirizzo e-mail."
change virtual machine device id ,I bought a vps but know i got banned from an app i installed due to previous user using the same vps and installed the app first…was requesting a new device id for my vps if possible? thank you 🙏
Dont show RDP information,"Hi, Why my panel i cant see information RDP? please open this step for me thank you."
vps ,hello i have problem with my vps i cannot connect it wia remote desktop on windows i seetings i dosnt see any password what i cannot paste on my computer please fix taht becouse i need it
google_logo Play, ![](https://apponfly6713.zendesk.com/attachments/token/iLPvd4EtVeAhIdJHoI27P7iN4/?name=brave_screenshot_play.google.com+%281%29.png)
Refounde,Hi i wanted a Re found i spent 6 dollars on 100 hours but it didn't meet my requirements and i dont know how to get my money back
Cambio email,"hello good evening when I log in with google I don t want the email because they deactivated the google account, we could change the email associated with the account app on fly thank you

my email is @marcellonabbie@gmail.com
only that to retrieve the emial I have to receive the sms but nothing arrives"
Cancellation,"Hello.

Last year I booked an one year subscription. To my understanding, the subscription would expire on the 30 or 31 July 2025. Right now I logged into the account and as I see, the virtual machine is expired and deleted. Can you please tell me what happened?"
Secure and Scalable: The Payment Solution You Need with Cryptomus,"Greetings,

I hope this email finds you well.

Have you had the chance to review the Cryptomus payment gateway? I’d like to reassure you that Cryptomus is a globally recognized platform, supporting transactions across all countries. It’s designed to make cryptocurrency payments effortless and secure for both businesses and their clients.

By integrating our cryptocurrency payment gateway, your clients can conveniently pay directly to your wallet using their preferred cryptocurrency. Here are some key advantages:

* No registration fees
* Global support for transactions

Cryptomus is here to simplify your payment processes, offering a seamless and reliable solution.

What are your thoughts on moving forward? I’d be happy to address any questions or guide you through the setup process.

Looking forward to hearing from you.

Best wishes,
Amarendra Patil
Business Development Manager | Cryptomus

Telegram: @Amarendra_Cryptomus
WhatsApp: +372 5920 8034"
I didn't get my subscription for 200 hours,I paid for 200 hours and it didn't give it to me can I please get it
Data Disclosure Request - IP address 88.86.117.130,"Dear Sir or Madam,

Please find attached a Data Disclosure Request in case of several bomb threats in Austria.

I would ask you to process this request as a matter of priority, as the bomb threats are still ongoing.

 

With your information, the perpetrators could possibly be identified quickly or missing evidence could be brought together.

It would be also helpful if you have any insights, what the server is used for and if this user runs any other services at your platfom!

 

We also kindly ask you to preserve the data of the corresponding user and the requested server.

 

Thank you for your cooperation!

 

Federal Ministry of the Interior – Republic of Austria

Directorate State Protection and Intelligence Service

Operational Investigations Unit

 

71230591

 

Herrengasse 7, 1010 Vienna

s2-oe-1@dsn.gv.at

dsn.gv.at"
RDP login details missing in dashboard despite enabling it,"Hi

in dashboard I see no RDP details despite enabling it. is this smth you could fix maybe or the problem is on my side for some reason? please see the attached screen

also, whenever I disconnect from your VPS, it shuts down. however, I would like to run some test python scripts overnight there. hence, is there an option to change it somehow and let our VPS run 24/7 even without me being connected or not?



 ![](https://apponfly6713.zendesk.com/attachments/token/Ivfhi8yZUEyvuQwLHN5F03pHl/?name=obraz.png)"
about public ip and port connection,"hi,

please help to understand why any of connection requests of mine from external ips to the vps can not establish. the service plan I have can be used as a regular vps machine or just a limited safe playground to trying things out.

I need to use some applications as a event listener which ones trigred from customized ports.

so far I was able to say hi, but I don't get any feedback somehow!"
invoices,Why are the invoices I can download 0.00 USD?
"Hello AppOnFly Team,

I’m a student currently lea…","Hello AppOnFly Team,

I’m a student currently learning system administration and software testing. I found your service very helpful for exploring Windows environments in the cloud.

Would it be possible to get extended free access to AppOnFly for educational purposes? I would really appreciate the opportunity to use your platform for my learning.

Thank you in advance!

Best regards,  
Mark"
VDN is entirely not working for more than 14 hours now,"Hi Team,

I did a factory reset of my VDN and mor ethan 14 hours now its still resetting forever..



I tried using different devices now, reset ..logout and log backin.. nothing is working!!



Check a d fix this"
